Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
216,2.38E+03,3.05E+03,1.39E+03,6.30E+01,3.20E-01,2.21E+00,1.00E+00,1.00E+00,2.20E+00,6.73E+03,3.06E+03,1.66E-01,2.68E+00,1.09E+00,2.96E-01,1.00E+00
217,2.37E+03,3.10E+03,1.44E+03,8.50E+01,3.57E-01,2.33E+00,1.00E+00,1.00E+00,2.14E+00,7.22E+03,3.37E+03,4.16E-01,2.72E+00,1.09E+00,2.36E-01,4.00E+00
218,2.13E+03,2.30E+03,8.59E+02,9.24E+01,5.08E-01,2.24E+00,1.00E+00,1.00E+00,2.68E+00,5.16E+03,1.92E+03,4.99E-01,2.73E+00,1.09E+00,2.99E-01,4.00E+00
219,2.31E+03,3.22E+03,1.63E+03,6.24E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,1.97E+00,7.05E+03,3.57E+03,1.59E-01,2.68E+00,1.09E+00,3.05E-01,1.00E+00
220,2.35E+03,3.06E+03,1.43E+03,5.91E+01,2.84E-01,2.19E+00,1.00E+00,1.00E+00,2.14E+00,6.70E+03,3.13E+03,1.22E-01,2.67E+00,1.09E+00,3.06E-01,1.00E+00
221,2.11E+03,2.29E+03,8.98E+02,1.10E+02,4.20E-01,2.23E+00,1.00E+00,9.65E-01,2.55E+00,5.12E+03,2.00E+03,6.94E-01,2.76E+00,1.09E+00,3.17E-01,4.00E+00
222,2.34E+03,3.40E+03,1.66E+03,6.24E+01,2.25E-01,2.36E+00,1.00E+00,1.00E+00,2.04E+00,8.01E+03,3.92E+03,1.59E-01,2.68E+00,1.09E+00,2.00E-01,1.00E+00
223,2.38E+03,3.08E+03,1.38E+03,6.66E+01,2.79E-01,2.18E+00,1.00E+00,1.00E+00,2.23E+00,6.72E+03,3.01E+03,2.07E-01,2.68E+00,1.09E+00,3.13E-01,4.00E+00
224,2.34E+03,3.19E+03,1.67E+03,6.01E+01,2.82E-01,2.19E+00,1.00E+00,1.00E+00,1.91E+00,6.98E+03,3.66E+03,1.34E-01,2.67E+00,1.09E+00,3.07E-01,1.00E+00
225,2.16E+03,2.75E+03,1.06E+03,6.73E+01,2.83E-01,2.17E+00,6.78E-01,1.00E+00,2.59E+00,5.96E+03,2.30E+03,2.15E-01,2.68E+00,9.90E-01,3.06E-01,4.00E+00
226,2.18E+03,2.92E+03,1.45E+03,6.33E+01,3.14E-01,2.12E+00,2.16E-01,8.91E-01,2.01E+00,6.19E+03,3.08E+03,1.70E-01,2.68E+00,8.47E-01,3.02E-01,2.00E+00
227,2.23E+03,3.00E+03,1.24E+03,6.65E+01,2.93E-01,2.16E+00,1.00E+00,1.00E+00,2.41E+00,6.47E+03,2.69E+03,2.05E-01,2.68E+00,1.09E+00,3.29E-01,4.00E+00
228,2.27E+03,3.18E+03,1.61E+03,6.35E+01,2.91E-01,2.19E+00,1.00E+00,1.00E+00,1.98E+00,6.97E+03,3.52E+03,1.72E-01,2.68E+00,1.09E+00,3.05E-01,1.00E+00
229,2.37E+03,3.11E+03,1.46E+03,6.78E+01,2.84E-01,2.20E+00,1.00E+00,1.00E+00,2.13E+00,6.86E+03,3.22E+03,2.20E-01,2.69E+00,1.09E+00,3.01E-01,4.00E+00
230,2.28E+03,3.28E+03,1.62E+03,6.27E+01,2.77E-01,2.20E+00,1.00E+00,1.00E+00,2.02E+00,7.22E+03,3.57E+03,1.63E-01,2.68E+00,1.09E+00,3.00E-01,1.00E+00
231,2.22E+03,2.78E+03,1.25E+03,7.10E+01,3.23E-01,2.22E+00,1.00E+00,1.00E+00,2.23E+00,6.16E+03,2.76E+03,2.56E-01,2.69E+00,1.09E+00,2.96E-01,4.00E+00
232,2.24E+03,2.77E+03,1.42E+03,6.38E+01,3.42E-01,2.14E+00,1.00E+00,1.00E+00,1.95E+00,5.92E+03,3.04E+03,1.75E-01,2.68E+00,1.09E+00,3.41E-01,1.00E+00
