Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
400,2.35E+03,3.07E+03,1.42E+03,5.83E+01,2.96E-01,2.19E+00,1.00E+00,1.00E+00,2.17E+00,6.74E+03,3.11E+03,1.13E-01,2.67E+00,1.09E+00,3.00E-01,1.00E+00
401,2.27E+03,3.15E+03,1.59E+03,6.24E+01,3.08E-01,2.17E+00,1.00E+00,1.00E+00,1.98E+00,6.85E+03,3.46E+03,1.59E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
402,2.14E+03,2.47E+03,1.03E+03,8.35E+01,5.12E-01,2.26E+00,9.80E-01,1.00E+00,2.39E+00,5.58E+03,2.33E+03,3.99E-01,2.71E+00,1.08E+00,2.80E-01,4.00E+00
403,2.38E+03,3.11E+03,1.38E+03,6.21E+01,2.76E-01,2.19E+00,1.00E+00,1.00E+00,2.25E+00,6.81E+03,3.03E+03,1.56E-01,2.68E+00,1.09E+00,3.06E-01,1.00E+00
404,2.14E+03,2.34E+03,9.34E+02,8.81E+01,3.73E-01,2.27E+00,1.00E+00,1.00E+00,2.51E+00,5.31E+03,2.12E+03,4.51E-01,2.72E+00,1.09E+00,2.79E-01,4.00E+00
405,2.22E+03,2.85E+03,1.16E+03,7.87E+01,3.34E-01,2.22E+00,1.00E+00,1.00E+00,2.44E+00,6.33E+03,2.59E+03,3.44E-01,2.71E+00,1.09E+00,2.98E-01,4.00E+00
406,2.20E+03,2.80E+03,1.24E+03,7.99E+01,3.41E-01,2.23E+00,1.00E+00,1.00E+00,2.27E+00,6.26E+03,2.76E+03,3.58E-01,2.71E+00,1.09E+00,2.92E-01,4.00E+00
407,2.24E+03,2.74E+03,1.44E+03,6.44E+01,3.19E-01,2.11E+00,9.95E-01,1.00E+00,1.90E+00,5.77E+03,3.04E+03,1.82E-01,2.68E+00,1.09E+00,3.57E-01,1.00E+00
408,2.31E+03,3.23E+03,1.72E+03,5.76E+01,2.94E-01,2.20E+00,1.00E+00,1.00E+00,1.88E+00,7.08E+03,3.78E+03,1.05E-01,2.67E+00,1.09E+00,2.98E-01,1.00E+00
409,2.12E+03,2.46E+03,1.15E+03,8.89E+01,3.87E-01,2.30E+00,1.00E+00,1.00E+00,2.14E+00,5.64E+03,2.64E+03,4.60E-01,2.72E+00,1.09E+00,2.61E-01,4.00E+00
410,2.30E+03,2.99E+03,1.37E+03,6.15E+01,3.08E-01,2.16E+00,1.00E+00,1.00E+00,2.19E+00,6.47E+03,2.95E+03,1.49E-01,2.67E+00,1.09E+00,3.23E-01,1.00E+00
411,2.15E+03,2.62E+03,1.08E+03,8.59E+01,4.18E-01,2.31E+00,1.00E+00,1.00E+00,2.43E+00,6.04E+03,2.49E+03,4.25E-01,2.72E+00,1.09E+00,2.51E-01,4.00E+00
412,2.34E+03,3.23E+03,1.48E+03,6.09E+01,2.92E-01,2.19E+00,1.00E+00,1.00E+00,2.19E+00,7.06E+03,3.23E+03,1.43E-01,2.67E+00,1.09E+00,3.06E-01,1.00E+00
413,2.22E+03,2.75E+03,1.22E+03,6.81E+01,3.25E-01,2.14E+00,1.00E+00,1.00E+00,2.25E+00,5.89E+03,2.62E+03,2.24E-01,2.69E+00,1.09E+00,3.40E-01,4.00E+00
414,2.24E+03,2.83E+03,1.26E+03,6.41E+01,3.41E-01,2.11E+00,9.90E-01,1.00E+00,2.26E+00,5.99E+03,2.65E+03,1.79E-01,2.68E+00,1.09E+00,3.56E-01,1.00E+00
415,2.38E+03,3.09E+03,1.38E+03,6.29E+01,2.93E-01,2.20E+00,1.00E+00,1.00E+00,2.23E+00,6.78E+03,3.04E+03,1.65E-01,2.68E+00,1.09E+00,3.02E-01,1.00E+00
416,2.25E+03,2.92E+03,1.30E+03,6.73E+01,3.07E-01,2.13E+00,1.00E+00,1.00E+00,2.25E+00,6.20E+03,2.76E+03,2.15E-01,2.68E+00,1.09E+00,3.50E-01,4.00E+00
417,2.23E+03,3.27E+03,1.62E+03,6.69E+01,3.11E-01,2.21E+00,9.97E-01,1.00E+00,2.02E+00,7.23E+03,3.58E+03,2.10E-01,2.68E+00,1.09E+00,2.98E-01,4.00E+00
418,2.21E+03,2.70E+03,1.04E+03,8.61E+01,4.12E-01,2.22E+00,9.92E-01,1.00E+00,2.59E+00,5.98E+03,2.31E+03,4.28E-01,2.72E+00,1.09E+00,3.07E-01,4.00E+00
419,2.13E+03,2.32E+03,8.85E+02,9.63E+01,4.32E-01,2.25E+00,1.00E+00,1.00E+00,2.62E+00,5.21E+03,1.99E+03,5.44E-01,2.74E+00,1.09E+00,2.96E-01,4.00E+00
420,2.39E+03,3.06E+03,1.38E+03,5.87E+01,3.03E-01,2.17E+00,1.00E+00,1.00E+00,2.22E+00,6.63E+03,2.98E+03,1.18E-01,2.67E+00,1.09E+00,3.19E-01,1.00E+00
421,2.29E+03,3.26E+03,1.52E+03,6.36E+01,2.87E-01,2.21E+00,1.00E+00,1.00E+00,2.15E+00,7.21E+03,3.35E+03,1.73E-01,2.68E+00,1.09E+00,2.94E-01,1.00E+00
422,2.12E+03,2.47E+03,1.04E+03,9.51E+01,3.41E-01,2.29E+00,1.00E+00,9.86E-01,2.38E+00,5.66E+03,2.38E+03,5.30E-01,2.73E+00,1.09E+00,2.70E-01,4.00E+00
423,2.26E+03,3.11E+03,1.26E+03,8.26E+01,3.50E-01,2.26E+00,1.00E+00,1.00E+00,2.48E+00,7.04E+03,2.85E+03,3.88E-01,2.71E+00,1.09E+00,2.77E-01,4.00E+00
424,2.31E+03,3.31E+03,1.68E+03,5.89E+01,2.69E-01,2.20E+00,1.00E+00,1.00E+00,1.97E+00,7.27E+03,3.68E+03,1.19E-01,2.67E+00,1.09E+00,3.00E-01,1.00E+00
425,2.20E+03,2.81E+03,1.21E+03,7.19E+01,3.06E-01,2.16E+00,1.00E+00,1.00E+00,2.33E+00,6.08E+03,2.61E+03,2.67E-01,2.69E+00,1.09E+00,3.32E-01,4.00E+00
426,2.18E+03,2.86E+03,1.42E+03,6.86E+01,3.16E-01,2.12E+00,4.18E-01,8.99E-01,2.01E+00,6.07E+03,3.02E+03,2.30E-01,2.69E+00,9.10E-01,3.17E-01,4.00E+00
427,2.31E+03,3.33E+03,1.67E+03,5.99E+01,2.75E-01,2.21E+00,1.00E+00,1.00E+00,1.99E+00,7.34E+03,3.68E+03,1.31E-01,2.67E+00,1.09E+00,2.94E-01,1.00E+00
428,2.19E+03,2.71E+03,1.12E+03,6.18E+01,3.04E-01,2.20E+00,9.91E-01,1.00E+00,2.41E+00,5.95E+03,2.46E+03,1.52E-01,2.67E+00,1.09E+00,3.02E-01,1.00E+00
429,2.13E+03,2.35E+03,8.91E+02,9.27E+01,4.62E-01,2.26E+00,1.00E+00,1.00E+00,2.63E+00,5.30E+03,2.01E+03,5.03E-01,2.73E+00,1.09E+00,2.87E-01,4.00E+00
430,2.35E+03,3.20E+03,1.41E+03,6.36E+01,2.86E-01,2.18E+00,9.97E-01,1.00E+00,2.26E+00,6.98E+03,3.09E+03,1.73E-01,2.68E+00,1.09E+00,3.10E-01,1.00E+00
431,2.37E+03,3.06E+03,1.42E+03,6.06E+01,2.86E-01,2.19E+00,1.00E+00,1.00E+00,2.16E+00,6.69E+03,3.10E+03,1.38E-01,2.67E+00,1.09E+00,3.08E-01,1.00E+00
432,2.16E+03,2.50E+03,1.42E+03,5.54E+01,2.99E-01,2.11E+00,2.70E-01,7.92E-01,1.76E+00,5.26E+03,2.99E+03,8.01E-02,2.66E+00,8.64E-01,3.10E-01,2.00E+00
433,2.11E+03,2.42E+03,1.01E+03,1.16E+02,3.81E-01,2.28E+00,1.00E+00,9.96E-01,2.41E+00,5.52E+03,2.29E+03,7.72E-01,2.77E+00,1.09E+00,2.94E-01,4.00E+00
434,2.34E+03,2.97E+03,1.15E+03,8.91E+01,3.26E-01,2.37E+00,1.00E+00,1.00E+00,2.58E+00,7.03E+03,2.72E+03,4.62E-01,2.72E+00,1.09E+00,2.18E-01,4.00E+00
435,2.24E+03,2.92E+03,1.37E+03,6.58E+01,3.18E-01,2.11E+00,9.68E-01,1.00E+00,2.13E+00,6.16E+03,2.88E+03,1.98E-01,2.68E+00,1.08E+00,3.59E-01,1.00E+00
436,2.12E+03,2.49E+03,1.08E+03,9.23E+01,3.39E-01,2.29E+00,1.00E+00,9.54E-01,2.31E+00,5.70E+03,2.46E+03,4.98E-01,2.73E+00,1.09E+00,2.67E-01,4.00E+00
437,2.16E+03,2.38E+03,7.35E+02,6.13E+01,3.12E-01,2.09E+00,2.07E-01,7.57E-01,3.23E+00,4.98E+03,1.54E+03,1.47E-01,2.67E+00,8.44E-01,3.17E-01,2.00E+00
438,2.37E+03,3.06E+03,1.38E+03,8.37E+01,3.48E-01,2.31E+00,1.00E+00,1.00E+00,2.21E+00,7.06E+03,3.19E+03,4.01E-01,2.71E+00,1.09E+00,2.49E-01,4.00E+00
439,2.17E+03,2.89E+03,1.40E+03,6.65E+01,3.17E-01,2.16E+00,3.00E-01,9.53E-01,2.07E+00,6.23E+03,3.01E+03,2.05E-01,2.68E+00,8.73E-01,2.90E-01,4.00E+00
440,2.25E+03,2.72E+03,1.17E+03,9.11E+01,4.14E-01,2.30E+00,1.00E+00,1.00E+00,2.33E+00,6.26E+03,2.69E+03,4.84E-01,2.73E+00,1.09E+00,2.59E-01,4.00E+00
441,2.20E+03,2.60E+03,1.02E+03,8.61E+01,4.32E-01,2.20E+00,9.53E-01,1.00E+00,2.55E+00,5.72E+03,2.24E+03,4.28E-01,2.72E+00,1.08E+00,3.16E-01,4.00E+00
442,2.37E+03,2.96E+03,1.37E+03,6.06E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,2.16E+00,6.47E+03,3.00E+03,1.39E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
443,2.38E+03,3.01E+03,1.38E+03,6.63E+01,2.97E-01,2.19E+00,1.00E+00,1.00E+00,2.18E+00,6.58E+03,3.02E+03,2.04E-01,2.68E+00,1.09E+00,3.12E-01,4.00E+00
444,2.29E+03,3.19E+03,1.51E+03,6.28E+01,2.83E-01,2.21E+00,1.00E+00,1.00E+00,2.11E+00,7.05E+03,3.34E+03,1.64E-01,2.68E+00,1.09E+00,2.96E-01,1.00E+00
445,2.17E+03,2.80E+03,1.42E+03,6.33E+01,3.11E-01,2.09E+00,2.01E-01,7.82E-01,1.98E+00,5.85E+03,2.96E+03,1.70E-01,2.68E+00,8.42E-01,3.20E-01,2.00E+00
446,2.28E+03,3.29E+03,1.67E+03,7.37E+01,2.99E-01,2.27E+00,1.00E+00,1.00E+00,1.96E+00,7.45E+03,3.79E+03,2.88E-01,2.70E+00,1.09E+00,2.68E-01,4.00E+00
447,2.13E+03,2.22E+03,7.79E+02,1.22E+02,4.83E-01,2.22E+00,1.00E+00,1.00E+00,2.85E+00,4.94E+03,1.73E+03,8.31E-01,2.78E+00,1.09E+00,3.32E-01,4.00E+00
448,2.16E+03,2.59E+03,1.20E+03,5.80E+01,3.43E-01,2.09E+00,5.86E-01,9.75E-01,2.16E+00,5.42E+03,2.51E+03,1.10E-01,2.67E+00,9.62E-01,3.38E-01,2.00E+00
449,2.19E+03,2.87E+03,1.26E+03,8.52E+01,3.79E-01,2.21E+00,9.82E-01,1.00E+00,2.27E+00,6.34E+03,2.79E+03,4.18E-01,2.72E+00,1.08E+00,3.13E-01,4.00E+00
450,2.25E+03,2.61E+03,1.04E+03,7.77E+01,3.75E-01,2.28E+00,1.00E+00,1.00E+00,2.49E+00,5.95E+03,2.38E+03,3.33E-01,2.70E+00,1.09E+00,2.61E-01,4.00E+00
451,2.36E+03,3.05E+03,1.47E+03,5.89E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,2.07E+00,6.66E+03,3.22E+03,1.20E-01,2.67E+00,1.09E+00,3.06E-01,1.00E+00
452,2.29E+03,3.06E+03,1.51E+03,8.10E+01,3.15E-01,2.31E+00,1.00E+00,1.00E+00,2.02E+00,7.07E+03,3.49E+03,3.70E-01,2.71E+00,1.09E+00,2.45E-01,4.00E+00
453,2.35E+03,3.18E+03,1.42E+03,6.27E+01,2.80E-01,2.19E+00,9.96E-01,1.00E+00,2.24E+00,6.96E+03,3.10E+03,1.62E-01,2.68E+00,1.09E+00,3.08E-01,1.00E+00
454,2.23E+03,2.70E+03,1.24E+03,7.02E+01,3.42E-01,2.12E+00,9.77E-01,1.00E+00,2.18E+00,5.73E+03,2.63E+03,2.48E-01,2.69E+00,1.08E+00,3.55E-01,4.00E+00
455,2.23E+03,2.91E+03,1.17E+03,6.39E+01,3.10E-01,2.12E+00,1.00E+00,1.00E+00,2.49E+00,6.18E+03,2.48E+03,1.77E-01,2.68E+00,1.09E+00,3.50E-01,1.00E+00
456,2.25E+03,3.02E+03,1.19E+03,6.09E+01,3.25E-01,2.12E+00,9.81E-01,1.00E+00,2.54E+00,6.40E+03,2.52E+03,1.42E-01,2.67E+00,1.08E+00,3.49E-01,1.00E+00
457,2.24E+03,2.76E+03,1.42E+03,6.30E+01,3.38E-01,2.13E+00,1.00E+00,1.00E+00,1.94E+00,5.88E+03,3.03E+03,1.66E-01,2.68E+00,1.09E+00,3.46E-01,1.00E+00
458,2.35E+03,3.06E+03,1.38E+03,5.62E+01,2.72E-01,2.25E+00,1.00E+00,1.00E+00,2.21E+00,6.88E+03,3.11E+03,8.90E-02,2.66E+00,1.09E+00,2.62E-01,1.00E+00
459,2.20E+03,2.51E+03,9.55E+02,8.97E+01,4.13E-01,2.20E+00,9.78E-01,1.00E+00,2.63E+00,5.52E+03,2.10E+03,4.68E-01,2.72E+00,1.08E+00,3.22E-01,4.00E+00
460,2.12E+03,2.48E+03,1.23E+03,8.75E+01,3.34E-01,2.27E+00,1.00E+00,9.58E-01,2.02E+00,5.63E+03,2.79E+03,4.44E-01,2.72E+00,1.09E+00,2.76E-01,4.00E+00
461,2.33E+03,2.77E+03,1.24E+03,9.27E+01,3.25E-01,2.33E+00,1.00E+00,1.00E+00,2.23E+00,6.46E+03,2.90E+03,5.02E-01,2.73E+00,1.09E+00,2.42E-01,4.00E+00
462,2.31E+03,3.32E+03,1.68E+03,6.02E+01,2.69E-01,2.20E+00,1.00E+00,1.00E+00,1.98E+00,7.32E+03,3.70E+03,1.34E-01,2.67E+00,1.09E+00,2.96E-01,1.00E+00
463,2.16E+03,2.07E+03,7.35E+02,6.17E+01,2.97E-01,2.11E+00,2.26E-01,7.48E-01,2.81E+00,4.35E+03,1.55E+03,1.51E-01,2.67E+00,8.50E-01,3.11E-01,2.00E+00
464,2.20E+03,2.79E+03,1.20E+03,7.29E+01,3.17E-01,2.14E+00,9.86E-01,1.00E+00,2.32E+00,5.96E+03,2.57E+03,2.79E-01,2.69E+00,1.09E+00,3.47E-01,4.00E+00
465,2.31E+03,3.24E+03,1.63E+03,5.98E+01,2.78E-01,2.18E+00,1.00E+00,1.00E+00,1.98E+00,7.07E+03,3.56E+03,1.30E-01,2.67E+00,1.09E+00,3.09E-01,1.00E+00
466,2.22E+03,2.91E+03,1.31E+03,7.73E+01,4.04E-01,2.18E+00,1.00E+00,1.00E+00,2.23E+00,6.36E+03,2.86E+03,3.28E-01,2.70E+00,1.09E+00,3.22E-01,4.00E+00
467,2.38E+03,3.04E+03,1.41E+03,6.53E+01,3.03E-01,2.18E+00,1.00E+00,1.00E+00,2.15E+00,6.63E+03,3.08E+03,1.92E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
468,2.19E+03,3.02E+03,1.36E+03,6.51E+01,3.01E-01,2.20E+00,9.75E-01,1.00E+00,2.22E+00,6.65E+03,2.99E+03,1.89E-01,2.68E+00,1.08E+00,3.01E-01,1.00E+00
469,2.14E+03,2.44E+03,9.99E+02,9.12E+01,4.36E-01,2.27E+00,1.00E+00,1.00E+00,2.45E+00,5.55E+03,2.27E+03,4.86E-01,2.73E+00,1.09E+00,2.77E-01,4.00E+00
470,2.24E+03,2.28E+03,7.87E+02,7.78E+01,3.85E-01,2.16E+00,9.63E-01,9.80E-01,2.89E+00,4.92E+03,1.70E+03,3.34E-01,2.70E+00,1.08E+00,3.32E-01,4.00E+00
471,2.37E+03,3.18E+03,1.49E+03,6.97E+01,2.87E-01,2.21E+00,1.00E+00,1.00E+00,2.13E+00,7.02E+03,3.29E+03,2.42E-01,2.69E+00,1.09E+00,2.98E-01,4.00E+00
472,2.39E+03,3.04E+03,1.40E+03,5.85E+01,2.88E-01,2.17E+00,1.00E+00,1.00E+00,2.18E+00,6.59E+03,3.03E+03,1.15E-01,2.67E+00,1.09E+00,3.16E-01,1.00E+00
473,2.11E+03,2.39E+03,9.81E+02,9.60E+01,4.10E-01,2.28E+00,1.00E+00,1.00E+00,2.43E+00,5.45E+03,2.24E+03,5.40E-01,2.74E+00,1.09E+00,2.76E-01,4.00E+00
474,2.11E+03,2.30E+03,8.96E+02,9.44E+01,4.49E-01,2.22E+00,1.00E+00,1.00E+00,2.57E+00,5.11E+03,1.99E+03,5.22E-01,2.73E+00,1.09E+00,3.14E-01,4.00E+00
475,2.38E+03,3.11E+03,1.46E+03,6.18E+01,2.82E-01,2.17E+00,1.00E+00,1.00E+00,2.13E+00,6.77E+03,3.17E+03,1.52E-01,2.67E+00,1.09E+00,3.16E-01,1.00E+00
476,2.39E+03,3.04E+03,1.37E+03,6.78E+01,2.88E-01,2.18E+00,1.00E+00,1.00E+00,2.22E+00,6.61E+03,2.98E+03,2.21E-01,2.69E+00,1.09E+00,3.19E-01,4.00E+00
477,2.12E+03,2.48E+03,1.15E+03,8.27E+01,3.82E-01,2.27E+00,1.00E+00,1.00E+00,2.16E+00,5.64E+03,2.62E+03,3.90E-01,2.71E+00,1.09E+00,2.70E-01,4.00E+00
478,2.37E+03,3.16E+03,1.51E+03,6.69E+01,2.97E-01,2.20E+00,1.00E+00,1.00E+00,2.09E+00,6.93E+03,3.32E+03,2.11E-01,2.68E+00,1.09E+00,3.05E-01,4.00E+00
479,2.24E+03,2.87E+03,1.15E+03,6.27E+01,3.20E-01,2.11E+00,9.83E-01,1.00E+00,2.50E+00,6.06E+03,2.42E+03,1.63E-01,2.68E+00,1.08E+00,3.54E-01,1.00E+00
480,2.26E+03,2.83E+03,1.25E+03,6.28E+01,3.21E-01,2.12E+00,1.00E+00,1.00E+00,2.26E+00,6.01E+03,2.65E+03,1.64E-01,2.68E+00,1.09E+00,3.51E-01,1.00E+00
481,2.38E+03,3.10E+03,1.43E+03,5.90E+01,3.14E-01,2.20E+00,1.00E+00,1.00E+00,2.17E+00,6.81E+03,3.14E+03,1.21E-01,2.67E+00,1.09E+00,2.98E-01,1.00E+00
482,2.30E+03,3.06E+03,1.39E+03,6.25E+01,3.00E-01,2.20E+00,1.00E+00,1.00E+00,2.21E+00,6.74E+03,3.06E+03,1.60E-01,2.68E+00,1.09E+00,2.97E-01,1.00E+00
483,2.32E+03,3.01E+03,1.45E+03,8.32E+01,3.46E-01,2.31E+00,1.00E+00,1.00E+00,2.08E+00,6.94E+03,3.34E+03,3.95E-01,2.71E+00,1.09E+00,2.51E-01,4.00E+00
484,2.13E+03,2.36E+03,9.95E+02,1.01E+02,3.73E-01,2.30E+00,1.00E+00,1.00E+00,2.37E+00,5.41E+03,2.28E+03,6.00E-01,2.75E+00,1.09E+00,2.72E-01,4.00E+00
485,2.21E+03,3.13E+03,1.19E+03,7.24E+01,3.33E-01,2.24E+00,1.00E+00,1.00E+00,2.63E+00,7.00E+03,2.66E+03,2.73E-01,2.69E+00,1.09E+00,2.84E-01,4.00E+00
486,2.14E+03,2.36E+03,9.68E+02,8.56E+01,3.80E-01,2.28E+00,1.00E+00,1.00E+00,2.44E+00,5.39E+03,2.21E+03,4.23E-01,2.72E+00,1.09E+00,2.69E-01,4.00E+00
487,2.31E+03,3.33E+03,1.67E+03,5.97E+01,2.78E-01,2.21E+00,1.00E+00,1.00E+00,2.00E+00,7.35E+03,3.69E+03,1.29E-01,2.67E+00,1.09E+00,2.92E-01,1.00E+00
488,2.33E+03,3.15E+03,1.64E+03,6.35E+01,2.75E-01,2.18E+00,8.13E-01,9.65E-01,1.92E+00,6.87E+03,3.59E+03,1.71E-01,2.68E+00,1.03E+00,3.02E-01,2.00E+00
489,2.38E+03,3.07E+03,1.42E+03,6.72E+01,3.00E-01,2.17E+00,1.00E+00,1.00E+00,2.16E+00,6.66E+03,3.08E+03,2.14E-01,2.68E+00,1.09E+00,3.23E-01,4.00E+00
490,2.31E+03,3.24E+03,1.66E+03,5.92E+01,2.64E-01,2.19E+00,1.00E+00,1.00E+00,1.96E+00,7.10E+03,3.63E+03,1.23E-01,2.67E+00,1.09E+00,3.03E-01,1.00E+00
491,2.30E+03,3.01E+03,1.47E+03,8.79E+01,3.44E-01,2.27E+00,9.91E-01,1.00E+00,2.05E+00,6.83E+03,3.33E+03,4.48E-01,2.72E+00,1.09E+00,2.77E-01,4.00E+00
492,2.22E+03,2.66E+03,1.04E+03,7.68E+01,4.13E-01,2.19E+00,9.44E-01,1.00E+00,2.57E+00,5.83E+03,2.27E+03,3.23E-01,2.70E+00,1.07E+00,3.13E-01,4.00E+00
493,2.23E+03,3.09E+03,1.50E+03,7.18E+01,2.55E-01,2.38E+00,1.00E+00,1.00E+00,2.06E+00,7.36E+03,3.57E+03,2.66E-01,2.69E+00,1.09E+00,1.95E-01,4.00E+00
494,2.15E+03,2.38E+03,9.85E+02,8.65E+01,4.15E-01,2.28E+00,1.00E+00,9.73E-01,2.41E+00,5.42E+03,2.25E+03,4.33E-01,2.72E+00,1.09E+00,2.67E-01,4.00E+00
495,2.39E+03,2.98E+03,1.36E+03,6.35E+01,3.19E-01,2.16E+00,1.00E+00,1.00E+00,2.19E+00,6.42E+03,2.93E+03,1.72E-01,2.68E+00,1.09E+00,3.29E-01,1.00E+00
496,2.19E+03,2.77E+03,1.26E+03,8.63E+01,3.24E-01,2.17E+00,9.43E-01,1.00E+00,2.20E+00,6.00E+03,2.73E+03,4.30E-01,2.72E+00,1.07E+00,3.35E-01,4.00E+00
497,2.27E+03,3.19E+03,1.51E+03,6.72E+01,2.84E-01,2.17E+00,1.00E+00,1.00E+00,2.12E+00,6.94E+03,3.27E+03,2.14E-01,2.68E+00,1.09E+00,3.20E-01,4.00E+00
498,2.38E+03,3.05E+03,1.44E+03,6.89E+01,2.83E-01,2.18E+00,1.00E+00,1.00E+00,2.12E+00,6.65E+03,3.14E+03,2.33E-01,2.69E+00,1.09E+00,3.17E-01,4.00E+00
499,2.35E+03,3.19E+03,1.37E+03,6.29E+01,2.82E-01,2.19E+00,1.00E+00,1.00E+00,2.32E+00,6.98E+03,3.00E+03,1.65E-01,2.68E+00,1.09E+00,3.07E-01,1.00E+00
500,2.34E+03,3.21E+03,1.53E+03,6.47E+01,2.95E-01,2.19E+00,1.00E+00,1.00E+00,2.10E+00,7.04E+03,3.35E+03,1.85E-01,2.68E+00,1.09E+00,3.07E-01,1.00E+00
501,2.30E+03,3.22E+03,1.53E+03,6.65E+01,2.84E-01,2.20E+00,1.00E+00,1.00E+00,2.10E+00,7.10E+03,3.37E+03,2.05E-01,2.68E+00,1.09E+00,3.01E-01,4.00E+00
502,2.27E+03,3.15E+03,1.59E+03,6.25E+01,3.17E-01,2.17E+00,1.00E+00,1.00E+00,1.98E+00,6.84E+03,3.46E+03,1.60E-01,2.68E+00,1.09E+00,3.17E-01,1.00E+00
503,2.17E+03,2.83E+03,1.48E+03,6.26E+01,3.08E-01,2.13E+00,2.57E-01,9.03E-01,1.91E+00,6.02E+03,3.15E+03,1.62E-01,2.68E+00,8.60E-01,3.01E-01,2.00E+00
504,2.16E+03,2.61E+03,1.40E+03,5.77E+01,3.25E-01,2.13E+00,6.54E-01,1.00E+00,1.86E+00,5.56E+03,2.98E+03,1.06E-01,2.67E+00,9.83E-01,3.18E-01,2.00E+00
505,2.30E+03,3.09E+03,1.42E+03,6.35E+01,2.73E-01,2.19E+00,1.00E+00,1.00E+00,2.18E+00,6.76E+03,3.10E+03,1.71E-01,2.68E+00,1.09E+00,3.07E-01,1.00E+00
506,2.15E+03,2.57E+03,9.59E+02,8.45E+01,4.66E-01,2.32E+00,1.00E+00,9.85E-01,2.69E+00,5.97E+03,2.22E+03,4.10E-01,2.72E+00,1.09E+00,2.45E-01,4.00E+00
507,2.29E+03,3.22E+03,1.51E+03,6.03E+01,2.88E-01,2.19E+00,1.00E+00,1.00E+00,2.13E+00,7.06E+03,3.32E+03,1.36E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
508,2.36E+03,3.27E+03,1.48E+03,6.87E+01,2.66E-01,2.28E+00,1.00E+00,1.00E+00,2.21E+00,7.45E+03,3.37E+03,2.31E-01,2.69E+00,1.09E+00,2.55E-01,4.00E+00
509,2.32E+03,3.32E+03,1.68E+03,6.16E+01,2.67E-01,2.20E+00,1.00E+00,1.00E+00,1.98E+00,7.31E+03,3.69E+03,1.50E-01,2.67E+00,1.09E+00,2.97E-01,1.00E+00
510,2.22E+03,2.67E+03,1.24E+03,6.27E+01,3.38E-01,2.11E+00,9.90E-01,1.00E+00,2.16E+00,5.63E+03,2.60E+03,1.62E-01,2.68E+00,1.09E+00,3.59E-01,1.00E+00
511,2.27E+03,3.17E+03,1.52E+03,6.73E+01,3.12E-01,2.17E+00,1.00E+00,1.00E+00,2.08E+00,6.87E+03,3.30E+03,2.15E-01,2.68E+00,1.09E+00,3.24E-01,4.00E+00
512,2.25E+03,2.52E+03,9.62E+02,8.98E+01,4.59E-01,2.14E+00,8.60E-01,9.82E-01,2.62E+00,5.40E+03,2.06E+03,4.70E-01,2.73E+00,1.05E+00,3.46E-01,4.00E+00
513,2.38E+03,3.11E+03,1.37E+03,5.84E+01,3.03E-01,2.19E+00,1.00E+00,1.00E+00,2.28E+00,6.81E+03,2.99E+03,1.14E-01,2.67E+00,1.09E+00,3.03E-01,1.00E+00
514,2.30E+03,3.01E+03,1.38E+03,6.57E+01,3.21E-01,2.19E+00,1.00E+00,1.00E+00,2.18E+00,6.58E+03,3.02E+03,1.96E-01,2.68E+00,1.09E+00,3.12E-01,1.00E+00
515,2.39E+03,3.06E+03,1.43E+03,5.89E+01,2.80E-01,2.21E+00,1.00E+00,1.00E+00,2.14E+00,6.75E+03,3.15E+03,1.19E-01,2.67E+00,1.09E+00,2.90E-01,1.00E+00
516,2.27E+03,3.23E+03,1.59E+03,6.19E+01,2.99E-01,2.18E+00,1.00E+00,1.00E+00,2.03E+00,7.02E+03,3.47E+03,1.54E-01,2.67E+00,1.09E+00,3.15E-01,1.00E+00
517,2.15E+03,2.38E+03,9.32E+02,8.63E+01,3.80E-01,2.25E+00,1.00E+00,1.00E+00,2.55E+00,5.35E+03,2.10E+03,4.30E-01,2.72E+00,1.09E+00,2.86E-01,4.00E+00
518,2.25E+03,3.50E+03,1.47E+03,6.35E+01,3.08E-01,2.15E+00,9.43E-01,1.00E+00,2.38E+00,7.51E+03,3.16E+03,1.71E-01,2.68E+00,1.07E+00,3.29E-01,1.00E+00
519,2.15E+03,2.41E+03,1.02E+03,8.31E+01,3.89E-01,2.28E+00,1.00E+00,1.00E+00,2.36E+00,5.49E+03,2.33E+03,3.93E-01,2.71E+00,1.09E+00,2.65E-01,4.00E+00
520,2.34E+03,3.08E+03,1.20E+03,8.56E+01,3.10E-01,2.32E+00,1.00E+00,1.00E+00,2.57E+00,7.15E+03,2.79E+03,4.23E-01,2.72E+00,1.09E+00,2.44E-01,4.00E+00
521,2.30E+03,2.94E+03,1.40E+03,7.45E+01,3.44E-01,2.16E+00,1.00E+00,1.00E+00,2.10E+00,6.36E+03,3.03E+03,2.96E-01,2.70E+00,1.09E+00,3.33E-01,4.00E+00
