DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
2104.6929,2356.8,955.5,90.0203,0.4279,2.251497,1.0,0.962015748031,2.46656200942,5306.3281296,2151.3053835,0.472539852355,2.72560637638,1.09,0.289867649836,4.0
2104.8452,2366.2,966.2,91.6612,0.4332,2.24174,1.0,0.924736047275,2.44897536742,5304.405188,2165.969188,0.491155959389,2.7285849535,1.09,0.297113037967,4.0
2104.9976,2380.7,966.2,92.4772,0.4331,2.236072,1.0,0.873182175622,2.4639826123,5323.4166104,2160.4927664,0.500413527394,2.73006616438,1.09,0.301203802085,4.0
2105.1499,2384.6,965.6,93.4056,0.4255,2.2337485,1.0,0.850145669291,2.46955260978,5326.5966731,2156.9075516,0.510946280012,2.7317514048,1.09,0.303336365874,4.0
2105.3025,2376.1,960.8,90.7311,0.4053,2.2363,1.0,0.87085554826,2.47304329725,5313.67243,2148.63704,0.480603920172,2.72689662723,1.09,0.299711428973,4.0
2105.4548,2344.7,948.2,87.2954,0.4141,2.251014,1.0,0.905933026921,2.47279055052,5277.9525258,2134.4114748,0.44162570155,2.72066011225,1.09,0.288009811929,4.0
2105.6072,2325.6,938.6,85.5143,0.4151,2.258352,1.0,0.950392529489,2.47773279352,5252.0234112,2119.6891872,0.421419017268,2.71742704276,1.09,0.282086404306,4.0
2105.7595,2311.6,938.6,85.2641,0.4108,2.243455,1.0,1.0,2.46281696143,5185.970578,2105.706863,0.418580483549,2.71697287737,1.09,0.291042268716,4.0
2105.9121,2292.8,920.6,89.665,0.41,2.227879,1.0,1.0,2.49054964154,5108.0809712,2050.9854074,0.468508952953,2.72496143247,1.09,0.304033124329,4.0
2106.0645,2284.8,901.3,91.6857,0.4332,2.22829,1.0,1.0,2.53500499279,5091.196992,2008.357777,0.491433913331,2.72862942613,1.09,0.30534019355,4.0
2106.2168,2292.0,896.9,95.642,0.4445,2.229488,1.0,1.0,2.55546883711,5109.986496,1999.6277872,0.536318369579,2.73581093913,1.09,0.307643440139,4.0
2106.3691,2303.7,895.8,94.3688,0.4488,2.2168175,1.0,1.0,2.57166778299,5106.88247475,1985.8251165,0.521873840677,2.73349981451,1.09,0.314379295907,4.0
2106.5215,2316.1,890.6,93.3062,0.4254,2.205065,1.0,0.983406434669,2.60060633281,5107.1510465,1963.830889,0.509818581164,2.73157097299,1.09,0.320732993974,4.0
2106.6741,2318.1,890.6,90.2965,0.4219,2.202446,1.0,0.96468503937,2.60285200988,5105.4900726,1961.4984076,0.475673357604,2.72610773722,1.09,0.320065558829,4.0
2106.8264,2322.9,895.2,93.1687,0.4137,2.211584,1.0,1.0,2.59483914209,5137.2884736,1979.8099968,0.508258635575,2.73132138169,1.09,0.316657899842,4.0
2106.9788,2323.6,900.4,100.457,0.43,2.222698,1.0,0.982055045872,2.58063083074,5164.6610728,2001.3172792,0.590944827844,2.74455117246,1.09,0.315404673571,4.0
2107.1311,2322.2,900.6,107.6881,0.4209,2.238909,1.0,0.947188976378,2.57850322008,5199.1944798,2016.3614454,0.672982082749,2.75767713324,1.09,0.311072283058,4.0
2107.2837,2329.9,914.6,108.2494,0.4366,2.2557665,1.0,0.968739330269,2.54745243822,5255.71036835,2063.1240409,0.67935006427,2.75869601028,1.09,0.301390730956,4.0
2107.436,2337.4,914.6,108.6079,0.4308,2.25524,1.0,1.0,2.55565274437,5271.397976,2062.642504,0.68341726786,2.75934676286,1.09,0.301978458924,4.0
2107.5884,2340.4,923.0,108.9983,0.428,2.244558,1.0,1.0,2.53564463705,5253.1635432,2071.727034,0.687846378827,2.76005542061,1.09,0.308670846638,4.0
2107.7407,2335.5,939.4,109.4286,0.4195,2.242779,1.0,1.0,2.4861613796,5238.0103545,2106.8665926,0.692728157642,2.76083650522,1.09,0.310058766135,4.0
2107.8933,2336.7,913.6,106.1826,0.4103,2.2442655,1.0,1.0,2.55768388792,5244.17519385,2050.3609608,0.65590209668,2.75494433547,1.09,0.306724269749,4.0
2108.0457,2320.7,923.1,100.0803,0.4388,2.253484,1.0,1.0,2.51402881595,5229.6603188,2080.1910804,0.586671144183,2.74386738307,1.09,0.29650707674,4.0
2108.198,2311.4,913.5,92.2342,0.4349,2.26147,1.0,1.0,2.53026819923,5227.161758,2065.852845,0.497656678099,2.7296250685,1.09,0.285525683579,4.0
2108.3503,2307.9,913.5,90.3316,0.4382,2.260485,1.0,1.0,2.52643678161,5216.9733315,2064.9530475,0.476071569169,2.72617145107,1.09,0.284619592136,4.0
2108.5027,2310.3,916.2,94.1916,0.4356,2.2482435,1.0,1.0,2.52161100196,5194.11695805,2059.8406947,0.519863496252,2.7331781594,1.09,0.295119951921,4.0
2108.6553,2308.1,910.6,101.6368,0.4364,2.236235,1.0,1.0,2.53470239403,5161.4540035,2036.315591,0.604329728252,2.74669275652,1.09,0.308118541903,4.0
2108.8076,2303.9,911.9,107.201,0.4377,2.229,1.0,0.983338148391,2.52648316701,5135.3931,2032.6251,0.667455904593,2.75679294473,1.09,0.316651775136,4.0
2108.96,2293.7,897.9,109.5794,0.4205,2.2308,1.0,0.964663171691,2.55451609311,5116.78596,2003.03532,0.694438992513,2.7611102388,1.09,0.317340069188,4.0
2109.1123,2287.7,897.9,111.1255,0.4118,2.234016,1.0,1.0,2.5478338345,5110.7584032,2005.9229664,0.71197958797,2.76391673408,1.09,0.316563376952,4.0
2109.2649,2285.9,894.9,106.675,0.4076,2.2273245,1.0,1.0,2.55436361605,5091.44107455,1993.23269505,0.661488403648,2.75583814458,1.09,0.317265903835,4.0
2109.4172,2286.5,895.1,105.8137,0.421,2.226624,1.0,1.0,2.55446318847,5091.175776,1993.0511424,0.651716904478,2.75427470472,1.09,0.317045439206,4.0
2109.5696,2291.1,881.7,104.113,0.4483,2.220348,1.0,0.98752,2.59850289214,5087.0393028,1957.6808316,0.632422362926,2.75118757807,1.09,0.319554266524,4.0
2109.7219,2304.5,889.1,105.796,0.4501,2.221876,1.0,0.960043307087,2.59194691261,5120.313242,1975.4699516,0.651516096937,2.75424257551,1.09,0.319885203842,4.0
2109.8745,2304.9,889.4,107.8853,0.4461,2.2283525,1.0,0.971457649376,2.59152237463,5136.12967725,1981.8967135,0.67521932835,2.75803509254,1.09,0.317548830301,4.0
2110.0269,2306.6,889.4,104.3934,0.4234,2.234269,1.0,1.0,2.59343377558,5153.5648754,1987.1588486,0.635603517422,2.75169656279,1.09,0.311385107471,4.0
2110.1792,2309.3,884.1,104.0284,0.4225,2.234604,1.0,1.0,2.61203483769,5160.3710172,1975.6133964,0.631462570949,2.75103401135,1.09,0.310908751911,4.0
2110.3315,2300.9,875.3,101.1434,0.4188,2.231795,1.0,1.0,2.62869873186,5135.1371155,1953.4901635,0.598732076225,2.7457971322,1.09,0.31042578961,4.0
2110.4839,2275.5,867.1,104.3623,0.4155,2.2316145,1.0,1.0,2.62426479068,5078.03879475,1935.03293295,0.635250686092,2.75164010977,1.09,0.31295923029,4.0
2110.6365,2269.5,864.2,104.7472,0.4183,2.240555,1.0,1.0,2.62612821106,5084.9395725,1936.287631,0.639617399236,2.75233878388,1.09,0.307869724777,4.0
2110.7888,2273.0,864.2,103.5072,0.4389,2.24944,1.0,1.0,2.63017819949,5112.97712,1943.966048,0.625549526287,2.75008792421,1.09,0.301579161505,4.0
2110.9412,2286.8,876.7,103.1502,0.4318,2.256236,1.0,1.0,2.60841793088,5159.5604848,1978.0421012,0.621499340285,2.74943989445,1.09,0.297211062658,4.0
2111.0935,2288.9,881.4,102.9489,0.4336,2.255195,1.0,1.0,2.59689130928,5161.9158355,1987.728873,0.619215579942,2.74907449279,1.09,0.297683735683,4.0
2111.2461,2301.7,857.1,102.8931,0.4276,2.251539,1.0,1.0,2.68545093921,5182.3673163,1929.7940769,0.61858252566,2.74897320411,1.09,0.299844628518,4.0
2111.3984,2318.2,869.3,103.791,0.4556,2.250016,1.0,1.0,2.66674335672,5215.9870912,1955.9389088,0.628769253983,2.75060308064,1.09,0.301448965424,4.0
2111.5508,2324.9,869.3,106.7578,0.4687,2.245064,1.0,1.0,2.67445070747,5219.5492936,1951.6341352,0.662427774519,2.75598844392,1.09,0.306679464547,4.0
2111.7031,2344.9,882.0,107.7164,0.457,2.251062,1.0,1.0,2.65861678005,5278.5152838,1985.436684,0.673303147913,2.75772850367,1.09,0.303806346508,4.0
2111.8557,2364.4,909.9,108.7931,0.4588,2.2521645,1.0,1.0,2.59852731069,5325.0177438,2049.24447855,0.685518372756,2.75968293964,1.09,0.303960966236,4.0
2112.0081,2372.7,932.5,106.6685,0.4447,2.250324,1.0,1.0,2.54445040214,5339.3437548,2098.42713,0.661414660766,2.75582634572,1.09,0.30345440689,4.0
2112.1604,2377.6,939.4,106.2967,0.4366,2.257926,1.0,1.0,2.5309772195,5368.4448576,2121.0956844,0.657196567893,2.75515145086,1.09,0.298606742711,4.0
